Inv_Id,Vendor_Code,GL_Code,Inv_Amt,Item_Description,Product_Category
64,VENDOR-879,GL-6100410,11.76904215,CLARK MELVIN SECURITIES CORP /BD - Jan-2011 - Production Agency Fees & Commissions Other Agency,CLASS-629
67,VENDOR-1089,GL-6100410,44.6669157,"CROWELL, WEEDON & CO. - Jul-2006 - Production Agency Fees & Commissions Other Agency",CLASS-629
69,VENDOR-294,GL-6100410,45.67419079,ANTHONY INDUSTRIES INC - Feb-2014 - Production Agency Fees & Commissions Other Agency,CLASS-629
70,VENDOR-545,GL-6100410,11.358208,BLOCK DRUG CO INC - Aug-2001 - Production Agency Fees & Commissions Other Agency,CLASS-629
72,VENDOR-1035,GL-6100410,12.78845979,COOPER INDUSTRIES INC - Oct-2017 - Production Agency Fees & Commissions Other Agency,CLASS-629
73,VENDOR-1035,GL-6100410,3.915822959,COOPER INDUSTRIES INC - Oct-2010 - Production Agency Fees & Commissions Other Agency,CLASS-629
76,VENDOR-1035,GL-6100410,66.8652232,COOPER INDUSTRIES INC. - Feb-2017 - Production Agency Fees & Commissions Other Agency,CLASS-629
78,VENDOR-1035,GL-6100410,62.68056666,COOPER INDUSTRIES INC. - Nov-2006 - Production Agency Fees & Commissions Other Agency,CLASS-629
80,VENDOR-1035,GL-6100410,19.36365822,COOPER INDUSTRIES INC - Mar-2012 - Production Agency Fees & Commissions Other Agency,CLASS-629
81,VENDOR-1035,GL-6100410,27.38555239,COOPER INDUSTRIES INC - Aug-2010 - Production Agency Fees & Commissions Other Agency,CLASS-629
82,VENDOR-1035,GL-6100410,4.919259849,COOPER INDUSTRIES INC - Aug-2016 - Production Agency Fees & Commissions Other Agency,CLASS-629
83,VENDOR-1035,GL-6100410,63.55729048,COOPER INDUSTRIES INC - Oct-2002 - Production Agency Fees & Commissions Other Agency,CLASS-629
84,VENDOR-1035,GL-6100410,26.30259239,COOPER INDUSTRIES INC - Mar-2019 - Production Agency Fees & Commissions Other Agency,CLASS-629
85,VENDOR-404,GL-6100410,57.95248225,BAIN & CO INC - Dec-2019 - Production Agency Fees & Commissions Other Agency,CLASS-629
86,VENDOR-669,GL-6100410,0.024426676,CACI INTERNATIONAL INC. /DE/ - Dec-2000 - Production Agency Fees & Commissions Other Agency,CLASS-629
88,VENDOR-1232,GL-6100410,29.77478638,DIVERSIFIED CAPITAL CORPORATION - Feb-2006 - Production Agency Fees & Commissions Other Agency,CLASS-629
89,VENDOR-1089,GL-6100410,83.05290811,"CROWELL, WEEDON & CO. - Nov-2015 - Production Agency Fees & Commissions Other Agency",CLASS-629
90,VENDOR-318,GL-6100410,5.655310106,ARKANSAS BEST HOLDINGS CORP /DE/ - Mar-2009 - Production Agency Fees & Commissions Other Agency,CLASS-629
91,VENDOR-545,GL-6100410,20.96249162,BLOCK DRUG CO INC - May-2018 - Production Agency Fees & Commissions Other Agency,CLASS-629
92,VENDOR-660,GL-6100410,49.13295185,BUTLER MANUFACTURING CO - Mar-2011 - Production Agency Fees & Commissions Other Agency,CLASS-629
93,VENDOR-879,GL-6100410,16.49748362,CLARK MELVIN SECURITIES CORP /BD - Oct-2015 - Production Agency Fees & Commissions Other Agency,CLASS-629
94,VENDOR-1232,GL-6100410,21.52350382,DIVERSIFIED CAPITAL CORPORATION - Oct-2007 - Production Agency Fees & Commissions Other Agency,CLASS-629
95,VENDOR-660,GL-6100410,46.07775487,BUTLER MANUFACTURING CO - Jul-2004 - Production Agency Fees & Commissions Other Agency,CLASS-629
97,VENDOR-1366,GL-6100410,86.14271088,EL PASO NATURAL GAS CO - May-2012 - Production Agency Fees & Commissions Other Agency,CLASS-629
98,VENDOR-1035,GL-6100410,19.40975946,COOPER INDUSTRIES INC - Jan-2011 - Production Agency Fees & Commissions Other Agency,CLASS-629
100,VENDOR-404,GL-6100410,28.0299514,BAIN & CO INC - Mar-2013 - Production Agency Fees & Commissions Other Agency,CLASS-629
101,VENDOR-760,GL-6100410,74.04195738,CDI CORP - Sep-2008 - Production Agency Fees & Commissions Other Agency,CLASS-629
102,VENDOR-757,GL-6100410,72.81209781,SYNOVUS FINANCIAL CORP - Nov-2003 - Production Agency Fees & Commissions Other Agency,CLASS-629
103,VENDOR-1034,GL-6100410,73.82804588,COOLIDGE LAWRENCE ET AL - Feb-2011 - Production Agency Fees & Commissions Other Agency,CLASS-629
104,VENDOR-1034,GL-6100410,84.0542528,COOLIDGE LAWRENCE ET AL - Jan-2003 - Production Agency Fees & Commissions Other Agency,CLASS-629
105,VENDOR-1034,GL-6100410,90.46047282,COOLIDGE LAWRENCE ET AL - Jul-2008 - Production Agency Fees & Commissions Other Agency,CLASS-629
106,VENDOR-1034,GL-6100410,67.93462104,COOLIDGE LAWRENCE ET AL - Apr-2007 - Production Agency Fees & Commissions Other Agency,CLASS-629
107,VENDOR-645,GL-6100410,86.02519317,BULOVA CORP - Dec-2004 - Production Agency Fees & Commissions Other Agency,CLASS-629
108,VENDOR-1366,GL-6100410,37.63827562,EL PASO NATURAL GAS CO - Aug-2012 - Production Agency Fees & Commissions Other Agency,CLASS-629
109,VENDOR-1366,GL-6100410,54.25405038,EL PASO NATURAL GAS CO - Mar-2014 - Production Agency Fees & Commissions Other Agency,CLASS-629
110,VENDOR-1366,GL-6100410,55.90627834,EL PASO NATURAL GAS CO - Jul-2014 - Production Agency Fees & Commissions Other Agency,CLASS-629
111,VENDOR-1035,GL-6100410,86.73977905,COOPER INDUSTRIES INC - Mar-2008 - Production Agency Fees & Commissions Other Agency,CLASS-629
114,VENDOR-287,GL-2182000,23.06275862,ANGELOFF CO /BD - Jul-2009 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
115,VENDOR-254,GL-6020600,75.39117171,AMERICAN URANIUM CORP - Jun-2000 - Non-Procurable Charity Organizations Charity Organizations Charity Organizations,CLASS-123
117,VENDOR-1024,GL-6020600,65.02975008,CONTINENTAL MUTUAL INVESTMENT FUND INC - Feb-2010 - Non-Procurable Charity Organizations Charity Organizations Charity Organizations,CLASS-123
118,VENDOR-619,GL-6020600,34.57409095,SMITH BROWN & GROOVER INC - Aug-2005 - Non-Procurable Charity Organizations Charity Organizations Charity Organizations,CLASS-123
119,VENDOR-276,GL-6050100,92.03122294,"FIRST INVESTORS SGL P&PPP FOR THE ACCU OF SH OF AMCAP FD INC - Jun-2004 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
120,VENDOR-276,GL-6050100,55.68571063,"FIRST INVESTORS SGL P&PPP FOR THE ACCU OF SH OF AMCAP FD INC. - Aug-2004 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
124,VENDOR-258,GL-2182000,81.44778178,AMERON INC - Dec-2015 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
125,VENDOR-909,GL-2182000,92.60628542,COHERENT INC - Oct-2012 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
126,VENDOR-616,GL-2182000,38.95192468,BROOKS FASHION STORES INC - May-2005 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
127,VENDOR-1423,GL-2182000,67.65856388,SUNTRUST CAPITAL MARKETS INC /BD - Mar-2000 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
129,VENDOR-727,GL-2182000,10.15362175,CARDIAC RESUSCITATOR CORP - Jul-2012 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
130,VENDOR-1225,GL-2182000,17.44060603,DIGITAL PRODUCTS CORP - Jun-2002 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
131,VENDOR-49,GL-2182000,4.984232661,ADVANCED COMPUTER TECHNIQUES CORP - Sep-2007 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
132,VENDOR-237,GL-2182000,82.46873185,AMERICAN PAD & PAPER CO - Apr-2000 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
133,VENDOR-306,GL-2182000,62.26863496,ARABIAN AMERICAN DEVELOPMENT CO - Feb-2000 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
134,VENDOR-341,GL-2182000,97.43433171,ASSOCIATED BANC-CORP - Jun-2008 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
135,VENDOR-328,GL-2182000,90.94524167,ARMSTRONG MANUFACTURING CO - Jun-2003 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
136,VENDOR-332,GL-2182000,56.83779623,ARTISTIC GREETINGS INC - Apr-2008 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
137,VENDOR-335,GL-2182000,39.67412231,ASA LTD - May-2013 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
139,VENDOR-340,GL-2182000,49.91643203,ASSET PLANNING CORPORATION - Dec-2008 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
141,VENDOR-345,GL-2182000,42.2499589,ASSOCIATES CORPORATION OF NORTH AMERICA - Nov-2017 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
142,VENDOR-346,GL-2182000,54.37119922,ASSOCIATES FIRST CAPITAL CORP - Feb-2005 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
143,VENDOR-372,GL-2182000,75.12608221,AUTHENTICOLOR INC. - Jan-2019 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
145,VENDOR-372,GL-2182000,47.72540559,AUTHENTICOLOR INC - May-2019 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
146,VENDOR-445,GL-2182000,79.69969078,PRINCIPAL LIFE INSURANCE CO SEPARATE ACCOUNT B - Mar-2008 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
147,VENDOR-672,GL-2182000,28.60853201,CAGLES INC - Jun-2018 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
148,VENDOR-724,GL-2182000,23.47880606,CAPITAL RESOURCES REAL ESTATE PARTNERSHIP II - Aug-2004 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
149,VENDOR-737,GL-2182000,57.59208586,CARR SECURITIES CORPORATION - May-2004 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
151,VENDOR-753,GL-2182000,3.252604743,"CATERPILLAR , INC. - Oct-2015 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor",CLASS-177
153,VENDOR-754,GL-2182000,30.80793375,CATERPILLAR TRACTOR CO RESTRICTED STOCK - Aug-2014 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
155,VENDOR-754,GL-2182000,17.4673564,CATERPILLAR TRACTOR CO RESTRICTED STOCK - Jul-2014 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
156,VENDOR-789,GL-2182000,93.38914611,CENTURY LABORATORIES INC - May-2015 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
157,VENDOR-811,GL-2182000,4.32369631,CHARMING SHOPPES INC - Mar-2005 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
158,VENDOR-812,GL-2182000,45.99377117,CHARTER COMMUNICATIONS INC - Jan-2015 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
159,VENDOR-813,GL-2182000,3.5830562,CHARTER FINANCIAL CORP - Nov-2002 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
161,VENDOR-815,GL-2182000,31.26214604,CANTEL INDUSTRIES INC - Jul-2012 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
164,VENDOR-907,GL-2182000,32.85245696,COEUR D ALENES CO - Feb-2014 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
165,VENDOR-912,GL-2182000,43.78279393,COLEMAN & CO SECURITIES INC - Jul-2018 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
168,VENDOR-986,GL-2182000,23.60683719,CONE MILLS CORP - Jan-2003 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
170,VENDOR-1254,GL-2182000,64.13555622,DONNELLEY R R & SONS CO - Apr-2015 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
172,VENDOR-1381,GL-2182000,65.15342003,ELFUN TRUSTS - Dec-2007 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
174,VENDOR-1485,GL-2182000,72.56341329,BREWSTER SECURITIES INC /BD - Jun-2011 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
175,VENDOR-1490,GL-2182000,90.36257301,COVISTA COMMUNICATIONS INC - Apr-2002 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
176,VENDOR-1501,GL-2182000,73.25998537,FAYS INC - Dec-2009 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
177,VENDOR-1526,GL-2182000,22.63172541,FERRO CORP - Aug-2004 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
179,VENDOR-225,GL-2182000,84.4961466,AMERICAN LIBERTY FINANCIAL CORP - May-2009 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
180,VENDOR-753,GL-2182000,54.38496869,"CATERPILLAR , INC. - Jan-2005 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor",CLASS-177
181,VENDOR-753,GL-2182000,99.20177711,CATERPILLAR INC - Dec-2008 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
182,VENDOR-753,GL-2182000,22.21395051,CATERPILLAR INC - May-2006 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
183,VENDOR-754,GL-2182000,45.46272941,CATERPILLAR TRACTOR CO RESTRICTED STOCK - Feb-2019 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
185,VENDOR-738,GL-2182000,99.84946435,"CALIBRAX CAPITAL PARTNERS, LLC - Mar-2013 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor",CLASS-177
186,VENDOR-738,GL-2182000,40.77483369,"CALIBRAX CAPITAL PARTNERS, LLC - Aug-2003 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor",CLASS-177
187,VENDOR-738,GL-2182000,88.23663877,"CALIBRAX CAPITAL PARTNERS, LLC - Apr-2005 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor",CLASS-177
188,VENDOR-738,GL-2182000,24.21347003,"CALIBRAX CAPITAL PARTNERS, LLC - Sep-2009 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor",CLASS-177
189,VENDOR-738,GL-2182000,82.22418047,"CALIBRAX CAPITAL PARTNERS, LLC - Mar-2011 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor",CLASS-177
190,VENDOR-616,GL-2182000,22.88538632,BROOKS FASHION STORES INC - Apr-2006 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
191,VENDOR-738,GL-2182000,46.7851866,"CALIBRAX CAPITAL PARTNERS, LLC - Feb-2005 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor",CLASS-177
192,VENDOR-738,GL-2182000,67.87414518,"CALIBRAX CAPITAL PARTNERS, LLC - Jul-2012 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor",CLASS-177
193,VENDOR-341,GL-2182000,28.72571636,ASSOCIATED BANC-CORP - Dec-2001 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
194,VENDOR-328,GL-2182000,55.59561549,ARMSTRONG MANUFACTURING CO - Aug-2005 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
195,VENDOR-329,GL-2182000,20.01309039,"ARNHOLD & S BLEICHROEDER , INC. /BD - Dec-2015 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor",CLASS-177
199,VENDOR-333,GL-2182000,46.50601036,ARTS WAY MANUFACTURING CO INC - Apr-2006 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
200,VENDOR-334,GL-2182000,6.870353874,ARVIN INDUSTRIES INC - Jan-2007 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
201,VENDOR-335,GL-2182000,51.38659854,ASA LTD - Apr-2007 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
202,VENDOR-336,GL-2182000,97.50061608,ASAHI GLASS CO LTD/ADR/ - Sep-2010 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
205,VENDOR-339,GL-2182000,9.309286818,ASHTON HARRIS J - Oct-2013 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
206,VENDOR-340,GL-2182000,16.68909004,ASSET PLANNING CORPORATION - Dec-2010 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
207,VENDOR-118,GL-2182000,36.28596093,ALLEN & CO INC /BD - Jul-2001 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
208,VENDOR-1195,GL-2182000,80.15414252,DESIGNATRONICS INC - Feb-2001 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
209,VENDOR-616,GL-2182000,32.4818667,BROOKS FASHION STORES INC - Jun-2000 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
210,VENDOR-143,GL-2182000,42.48522383,ALTOONA & LOGAN VALLEY ELECTRIC RAILWAY - Feb-2004 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
212,VENDOR-328,GL-2182000,77.13784441,ARMSTRONG MANUFACTURING CO - Apr-2003 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
213,VENDOR-329,GL-2182000,27.24047285,"ARNHOLD & S BLEICHROEDER , INC. /BD - Feb-2003 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor",CLASS-177
215,VENDOR-331,GL-2182000,15.1923853,ARROW ELECTRONICS INC - Oct-2003 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
219,VENDOR-335,GL-2182000,70.29885781,ASA LTD. - Oct-2002 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
220,VENDOR-336,GL-2182000,24.97480698,ASAHI GLASS CO LTD/ADR/ - Nov-2012 - Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,CLASS-177
